City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Atuona,PF,76.86,light rain,-9.8,-139.0333,Villa Enata
6,Kapaa,US,75.33,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
14,Xuddur,SO,89.13,broken clouds,4.1213,43.8894,Banjanay Hotel
15,Carnarvon,AU,76.78,clear sky,-24.8667,113.6333,Hospitality Carnarvon
16,Bambous Virieux,MU,80.73,clear sky,-20.3428,57.7575,Casa Tia Villa
17,Gorom-Gorom,BF,89.31,overcast clouds,14.4439,-0.2361,
18,Rikitea,PF,76.06,clear sky,-23.1203,-134.9692,People ThankYou
21,Saint-Philippe,RE,77.31,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
28,Vaini,TO,77.56,overcast clouds,-21.2,-175.2,Keleti Beach Resort
35,Butaritari,KI,81.48,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
38,Akyab,MM,82.02,scattered clouds,20.15,92.9,Hotel Memory
39,Dingle,PH,78.84,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
42,Bredasdorp,ZA,77.11,broken clouds,-34.5322,20.0403,Bredasdorp Country Manor
47,Port Blair,IN,82.78,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
50,Waingapu,ID,80.8,moderate rain,-9.6567,120.2641,Pondok Wisata Elim
54,Bengkulu,ID,76.19,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
80,Saint-Pierre,RE,77.47,light rain,-21.3393,55.4781,Lindsey Hôtel
88,Dicabisagan,PH,79.23,broken clouds,17.0818,122.4157,Nancy Montanes Bernardo
89,Karratha,AU,87.13,clear sky,-20.7377,116.8463,ibis Styles Karratha
91,Ismailia,EG,87.8,scattered clouds,30.6043,32.2723,Mercure Ismailia Forsan Island Hotel
93,Poum,NC,80.33,broken clouds,-20.2333,164.0167,Gîte kajeon
98,Georgetown,MY,77.52,light rain,5.4112,100.3354,Cititel Penang
99,Pandan,PH,79.32,overcast clouds,14.0453,124.1694,Bonifacio Lodge
