City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
0,Lexington,US,37.9887,-84.4777,25.92,67,43,6.38,scattered clouds,2021-11-29 09:34:05
1,Cherskiy,RU,68.75,161.3,-19.77,97,100,4.03,overcast clouds,2021-11-29 09:37:33
2,Atuona,PF,-9.8,-139.0333,76.86,81,24,15.82,light rain,2021-11-29 09:37:33
3,Dikson,RU,73.5069,80.5464,-15.9,97,99,19.33,overcast clouds,2021-11-29 09:37:33
4,Kruisfontein,ZA,-34.0033,24.7314,73.92,53,49,11.39,scattered clouds,2021-11-29 09:37:34
5,Esperance,AU,-33.8667,121.9,64.22,75,41,13.11,scattered clouds,2021-11-29 09:37:35
6,Kapaa,US,22.0752,-159.319,75.33,66,64,18.43,broken clouds,2021-11-29 09:37:35
7,Hovd,MN,48.0056,91.6419,18.07,39,6,1.86,clear sky,2021-11-29 09:37:35
8,Busselton,AU,-33.65,115.3333,65.66,49,1,16.26,clear sky,2021-11-29 09:35:16
9,Jamestown,US,42.097,-79.2353,26.74,96,99,8.19,light snow,2021-11-29 09:37:36
10,Black River,JM,18.0264,-77.8487,72.28,85,89,5.03,overcast clouds,2021-11-29 09:37:37
11,Puerto Ayora,EC,-0.7393,-90.3518,69.01,84,80,7.99,broken clouds,2021-11-29 09:37:37
12,Nikolskoye,RU,59.7035,30.7861,20.84,82,100,9.06,overcast clouds,2021-11-29 09:35:13
13,Khatanga,RU,71.9667,102.5,-10.52,97,100,8.86,overcast clouds,2021-11-29 09:35:14
14,Xuddur,SO,4.1213,43.8894,89.13,33,66,17.98,broken clouds,2021-11-29 09:37:38
15,Carnarvon,AU,-24.8667,113.6333,76.78,65,0,30.36,clear sky,2021-11-29 09:35:13
16,Bambous Virieux,MU,-20.3428,57.7575,80.73,55,0,10.16,clear sky,2021-11-29 09:37:39
17,Gorom-Gorom,BF,14.4439,-0.2361,89.31,9,90,14.09,overcast clouds,2021-11-29 09:37:39
18,Rikitea,PF,-23.1203,-134.9692,76.06,75,0,17.45,clear sky,2021-11-29 09:37:39
19,Punta Arenas,CL,-53.15,-70.9167,41.58,71,45,24.54,scattered clouds,2021-11-29 09:35:05
20,East London,ZA,-33.0153,27.9116,72.57,63,1,11.63,clear sky,2021-11-29 09:37:40
21,Saint-Philippe,RE,-21.3585,55.7679,77.31,81,55,5.91,light rain,2021-11-29 09:37:41
22,Hermanus,ZA,-34.4187,19.2345,69.17,64,74,14.76,broken clouds,2021-11-29 09:35:10
23,Ambilobe,MG,-13.2,49.05,92.23,43,42,1.99,scattered clouds,2021-11-29 09:37:41
24,Port Alfred,ZA,-33.5906,26.891,71.37,67,10,9.1,clear sky,2021-11-29 09:35:09
25,Mataura,NZ,-46.1927,168.8643,52.95,77,95,2.71,overcast clouds,2021-11-29 09:34:59
26,Hilo,US,19.7297,-155.09,72.64,79,93,16.06,light rain,2021-11-29 09:35:11
27,Pevek,RU,69.7008,170.3133,4.32,96,100,2.77,overcast clouds,2021-11-29 09:28:18
28,Vaini,TO,-21.2,-175.2,77.56,58,96,17.78,overcast clouds,2021-11-29 09:35:18
29,Ushuaia,AR,-54.8,-68.3,39.16,91,81,3.85,light rain,2021-11-29 09:31:39
30,Victoria,HK,22.2855,114.1577,74.17,57,44,1.79,scattered clouds,2021-11-29 09:37:29
31,Billings,US,45.7833,-108.5007,48.65,48,100,13.02,overcast clouds,2021-11-29 09:33:16
32,Roma,US,43.2128,-75.4557,24.28,96,77,4.23,broken clouds,2021-11-29 09:37:43
33,Bluff,NZ,-46.6,168.3333,56.5,80,99,17.31,overcast clouds,2021-11-29 09:35:07
34,Katsuura,JP,35.1333,140.3,56.8,69,14,13.15,few clouds,2021-11-29 09:37:44
35,Butaritari,KI,3.0707,172.7902,81.48,79,100,11.32,overcast clouds,2021-11-29 09:37:44
36,Ribeira Grande,PT,38.5167,-28.7,62.44,58,89,5.46,overcast clouds,2021-11-29 09:37:45
37,Aklavik,CA,68.2191,-135.0107,-12.1,82,100,12.62,overcast clouds,2021-11-29 09:37:45
38,Akyab,MM,20.15,92.9,82.02,55,32,13.56,scattered clouds,2021-11-29 09:37:46
39,Dingle,PH,10.9995,122.6711,78.84,87,100,6.08,overcast clouds,2021-11-29 09:37:46
40,Castro,BR,-24.7911,-50.0119,69.33,74,92,3.44,overcast clouds,2021-11-29 09:37:47
41,Saint Anthony,US,45.0205,-93.218,32.79,37,100,7.47,overcast clouds,2021-11-29 09:37:47
42,Bredasdorp,ZA,-34.5322,20.0403,77.11,41,64,8.68,broken clouds,2021-11-29 09:37:48
43,Tiznit,MA,29.5833,-9.5,61.2,32,0,2.24,clear sky,2021-11-29 09:35:08
44,Stayner,CA,44.4183,-80.096,21.29,88,44,2.86,scattered clouds,2021-11-29 09:37:48
45,Chokurdakh,RU,70.6333,147.9167,-19.21,99,100,3.98,overcast clouds,2021-11-29 09:37:49
46,Cabo San Lucas,MX,22.8909,-109.9124,72.79,79,15,7.38,few clouds,2021-11-29 09:36:59
47,Port Blair,IN,11.6667,92.75,82.78,74,92,12.08,overcast clouds,2021-11-29 09:38:49
48,Melito Di Porto Salvo,IT,37.9222,15.7714,57.02,62,25,20.36,scattered clouds,2021-11-29 09:38:50
49,Marienburg,PL,54.0359,19.0266,36.07,99,100,12.06,light rain,2021-11-29 09:38:50
50,Waingapu,ID,-9.6567,120.2641,80.8,78,100,3.51,moderate rain,2021-11-29 09:38:51
51,Ancud,CL,-41.8697,-73.8203,50.5,92,65,6.08,broken clouds,2021-11-29 09:38:52
