City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ilulissat,GL,2021-11-24 02:39:24,69.2167,-51.1,30.22,74,90,14.97
1,Tuktoyaktuk,CA,2021-11-24 02:39:24,69.4541,-133.0374,-5.8,77,75,4.61
2,Hamilton,US,2021-11-24 02:36:46,39.1834,-84.5333,35.78,67,1,0.0
3,Chernyshevskiy,RU,2021-11-24 02:39:25,63.0128,112.4714,-8.0,87,100,3.74
4,Mataura,NZ,2021-11-24 02:39:26,-46.1927,168.8643,63.54,46,100,6.73
5,Dom Pedrito,BR,2021-11-24 02:39:26,-30.9828,-54.6731,57.51,63,2,6.8
6,Kushmurun,KZ,2021-11-24 02:39:26,52.4503,64.6311,16.02,91,100,6.4
7,Geraldton,AU,2021-11-24 02:39:27,-28.7667,114.6,90.01,15,0,12.66
8,Poum,NC,2021-11-24 02:39:28,-20.2333,164.0167,78.89,78,100,5.77
9,Carnarvon,AU,2021-11-24 02:39:29,-24.8667,113.6333,95.07,18,0,16.11
10,East London,ZA,2021-11-24 02:39:29,-33.0153,27.9116,58.62,84,100,11.7
11,Saint-Augustin,CA,2021-11-24 02:39:30,51.226,-58.6502,40.64,98,100,15.37
12,Albany,US,2021-11-24 02:36:23,42.6001,-73.9662,29.08,62,1,3.0
13,Mehamn,NO,2021-11-24 02:39:30,71.0357,27.8492,22.19,76,100,3.09
14,Hilo,US,2021-11-24 02:39:31,19.7297,-155.09,78.53,77,75,8.05
15,Rikitea,PF,2021-11-24 02:39:31,-23.1203,-134.9692,76.86,82,100,12.88
16,Itambacuri,BR,2021-11-24 02:35:56,-18.0311,-41.685,68.59,94,7,1.95
17,Khorinsk,RU,2021-11-24 02:39:32,52.1657,109.7726,12.63,77,97,1.43
18,Punta Arenas,CL,2021-11-24 02:39:32,-53.15,-70.9167,44.71,76,0,12.66
19,Hobyo,SO,2021-11-24 02:39:33,5.3505,48.5268,79.03,78,89,4.03
20,Tuatapere,NZ,2021-11-24 02:39:33,-46.1333,167.6833,61.75,57,100,9.48
21,Pevek,RU,2021-11-24 02:39:34,69.7008,170.3133,-19.62,99,100,3.38
